location_id,product_id,discount,sales_amount,sale_orders,comparison_product_id
11,18819,522.6,3035.5,403,98311
11,98316,3043.95,37.05,182,98435
11,73023,2059,29,119,75501
11,98314,2734.66,73.34,182,98435
11,98317,3003,0,178,98435
11,98313,2617.66,73.34,185,98435
11,98318,2769,0,181,98435
11,98322,2730,0,181,98435
11,98363,2771.33,36.67,183,98435
11,98315,2769,0,173,98435
11,98320,2496,39,178,98435
11,98319,2457,0,183,98435
11,77506,54.75,1070.25,209,98311
11,98327,2340,0,143,98435
11,98486,2039.65,183.35,396,98492
11,98486,1738.43,328.57,396,98491
11,73048,912,0,92,75501
11,98329,1872,0,141,98435
11,98331,1872,0,134,98435
11,98487,1855.59,133.41,412,98488
11,98353,1872,0,181,98435
11,98326,1833,0,144,98435
11,98360,1716,0,170,98435
11,98488,1610.66,183.34,395,98492
11,98323,1833,0,133,98435
11,98354,1755,0,172,98435
11,98356,1716,0,171,98435
11,98485,1601.33,36.67,393,98486
11,98324,1718.33,36.67,129,98435
11,98330,1755,0,131,98435
11,98454,1455.84,143.16,282,98461
11,98487,1642.66,73.34,412,98492
11,95791,0,0,641,98311
11,98435,0,0,5457,100116
11,98486,1490.84,108.16,396,98488
11,98487,1157.44,402.56,412,98489
11,98361,1560,0,169,98435
11,98488,1344.14,254.86,395,98491
11,98311,0,0,6651,98477
11,98328,1599,0,136,98435
11,98335,1521,39,114,98435
11,98358,1484.33,36.67,157,98435
11,98486,1267.45,253.55,396,98487
11,98491,1300.98,259.02,386,98492
11,98332,1677,0,141,98435
11,98343,1443,0,142,98435
11,98346,1443,0,144,98435
11,98484,1335.59,146.41,400,98491
11,98487,1266.31,293.69,412,98491
11,98490,1115.3,366.7,415,98491
11,72843,321.4,2687.6,268,75501
11,95716,252.8,2986.2,120,98311
11,98359,1482,0,160,98435
11,98485,1291.66,73.34,393,98491
11,98486,1224.17,179.83,396,98489
11,98486,1376.16,144.84,396,98490
11,98355,1404,0,178,98435
11,98484,1225.36,100.64,400,98485
11,98484,1291.66,73.34,400,98486
11,98484,1216.26,109.74,400,98487
11,98484,1217.94,147.06,400,98488
11,98485,1326,0,393,98492
11,98489,1179.32,146.68,388,98491
11,72843,476.45,2237.55,268,98311
11,98349,1250.33,36.67,127,98435
11,98351,1367.34,36.66,142,98435
11,98352,1326,0,141,98435
11,98485,1211.33,36.67,393,98487
11,98489,1178.83,108.17,388,98492
11,98325,1252.66,73.34,138,98435
11,18819,141.89,964.41,403,75501
11,74771,78,0,98,98435
11,98458,1018.66,112.34,256,98460
11,98490,1023.32,146.68,415,98492
11,98345,1053,0,126,98435
11,98484,879.02,173.98,400,98489
11,98484,835.32,256.68,400,98490
11,98489,1101.32,146.68,388,98490
11,83598,342.7,3829.3,51,98311
11,86727,245.05,4148.95,51,98311
11,93424,236.3,3377.7,68,98311
11,96071,681.15,6488.85,49,98435
11,98348,1053,0,134,98435
11,98455,869.68,183.32,280,98456
11,98455,940.66,73.34,280,98458
11,98457,940.66,112.34,276,98460
11,92452,70.8,1404.2,49,98311
11,98356,979.66,73.34,171,98359
11,98455,828.32,146.68,280,98459
11,98456,1018.66,73.34,292,98458
11,98457,975,0,276,98461
11,98484,791.27,183.73,400,98492
11,98488,977.33,36.67,395,98489
11,98333,975,0,123,98435
11,98340,898.95,37.05,109,98435
11,98344,975,0,154,98435
11,98365,936,0,149,98435
11,98454,828.32,146.68,282,98459
11,81690,574.2,4573.8,119,98311
11,96072,185.3,2757.7,69,98435
11,98314,862.66,73.34,182,98363
11,98320,862.28,74.1,178,98363
11,98336,784.67,112.33,128,98435
11,98348,864.99,110.01,134,98351
11,98350,1053,0,118,98435
11,98454,786.99,110.01,282,98455
11,98464,860.33,36.67,199,98470
11,90686,664.15,7233.85,44,98435
11,92449,79.07,1218.93,55,98311
11,93089,158.4,2019.6,73,98311
11,93418,166.8,2891.2,34,98311
11,93426,236.3,2821.7,55,98311
11,96349,67.85,1348.15,65,98311
11,96377,70.8,1227.2,74,98311
11,98347,858,0,143,98435
11,98355,825.99,110.01,178,98356
11,98355,752.27,183.73,178,98359
11,98455,829.16,67.84,280,98461
11,86721,338,3211,41,98311
11,86728,219.3,3498.7,34,98311
11,88714,698.31,7260.69,44,98435
11,88715,511.65,7447.35,46,98435
11,89217,206.7,3609.3,30,98311
11,90841,587.45,7371.55,41,98435
11,96350,76.7,1162.3,70,98311
11,96358,59,1180,76,98311
11,98338,858,0,120,98435
11,98353,819,0,181,98361
11,98362,819,0,43,98435
11,98454,676.48,181.52,282,98457
11,98458,786.99,110.01,256,98459
11,98465,709,110,198,98471
55,18819,522.6,3035.5,403,98311
55,98316,3043.95,37.05,182,98435
55,73023,2059,29,119,75501
55,98314,2734.66,73.34,182,98435
55,98313,2617.66,73.34,185,98435
55,98363,2771.33,36.67,183,98435
55,98320,2496,39,178,98435
55,77506,54.75,1070.25,209,98311
55,98486,2039.65,183.35,396,98492
